Vehicle_ID,State,Vehicle_Type,Fuel_Type,EV_Status,Manufacturer,Model,Year_of_Manufacture,Units_Sold,Price,Mileage_kmpl,CO2_Emission_g_km,Registration_City
V0001,Telangana,Auto,Electric,Yes,TVS,Apache,2017,9297,1955225,0.0,0.0,Mumbai
V0002,Jharkhand,Bus,Diesel,No,Ashok Leyland,Dost,2021,754,484557,15.3,132.5,Ahmedabad
V0003,Andhra Pradesh,Truck,Hybrid,No,Eicher,Pro 3015,2024,14319,550856,19.8,103.4,Bengaluru
V0004,Haryana,Van,Petrol,No,Force Motors,Traveller,2011,10015,966216,16.9,144.1,Hyderabad
V0005,Gujarat,Bus,Diesel,No,Ashok Leyland,Dost,2017,2140,638713,24.5,191.7,Ahmedabad
V0006,Kerala,Bike,Electric,Yes,Royal Enfield,Classic 350,2023,10794,840063,0.0,0.0,Kochi
V0007,Uttar Pradesh,Truck,Hybrid,No,Mahindra,Jeeto,2012,11874,926875,11.2,121.0,Jaipur
V0008,Delhi,Bike,Hybrid,No,Royal Enfield,Classic 350,2012,8231,1810523,12.6,144.6,Hyderabad
V0009,Rajasthan,Car,Diesel,No,Honda,City,2022,2323,189782,13.3,199.9,Mumbai
V0010,Odisha,Bus,Electric,Yes,Volvo,9400,2017,11991,1585264,0.0,0.0,Mumbai
V0011,Tamil Nadu,Bike,Petrol,No,TVS,Jupiter,2018,11427,1282051,14.2,184.4,Mumbai
V0012,Assam,Car,Diesel,No,Tata,Punch,2021,9909,224483,15.9,117.6,Mumbai
V0013,Punjab,Bus,Electric,Yes,Volvo,9400,2017,3603,1714721,0.0,0.0,Bengaluru
V0014,Rajasthan,Van,Petrol,No,Force Motors,Traveller,2018,8170,2309322,26.6,116.8,Delhi
V0015,Delhi,Car,Hybrid,No,Hyundai,Venue,2017,10000,909140,11.5,124.0,Ahmedabad
V0016,West Bengal,Car,Petrol,No,Toyota,Innova,2021,6273,1362020,12.4,115.3,Chennai
V0017,Rajasthan,Auto,Diesel,No,TVS,Apache,2012,8090,1006823,14.4,105.0,Chennai
V0018,Madhya Pradesh,Bike,Electric,Yes,Hero,HF Deluxe,2014,10037,925311,0.0,0.0,Chennai
V0019,Jharkhand,SUV,Hybrid,No,Tata,Punch,2021,10753,2133479,23.1,119.4,Hyderabad
V0020,Bihar,Truck,Petrol,No,Ashok Leyland,Captain,2016,10142,1908378,27.7,100.3,Lucknow
V0021,Punjab,SUV,Electric,Yes,Tata,Punch,2010,12741,1758726,0.0,0.0,Bengaluru
V0022,Uttarakhand,Bus,Electric,Yes,Volvo,9400,2021,7777,606923,0.0,0.0,Mumbai
V0023,Maharashtra,Car,Hybrid,No,Toyota,Fortuner,2018,3989,271413,13.6,108.5,Hyderabad
V0024,Assam,Auto,Electric,Yes,TVS,Jupiter,2023,1680,400414,0.0,0.0,Lucknow
V0025,Uttarakhand,Auto,Electric,Yes,Piaggio,Porter,2021,12215,621109,0.0,0.0,Mumbai
V0026,Odisha,Car,Diesel,No,Kia,Sonet,2016,3098,414692,25.3,104.5,Hyderabad
V0027,Maharashtra,Truck,Petrol,No,Mahindra,Jeeto,2023,2230,2390097,12.1,164.8,Ahmedabad
V0028,Telangana,Truck,Electric,Yes,Ashok Leyland,Captain,2010,5499,1528151,0.0,0.0,Delhi
V0029,Uttar Pradesh,Bus,Hybrid,No,Tata,Nexon,2015,9541,1891648,15.6,187.6,Kochi
V0030,Haryana,Auto,Electric,Yes,TVS,Apache,2024,2330,1160944,0.0,0.0,Hyderabad
V0031,West Bengal,Bike,Electric,Yes,Hero,HF Deluxe,2010,10805,1900555,0.0,0.0,Kochi
V0032,Madhya Pradesh,Bike,Electric,Yes,TVS,Jupiter,2011,11978,617518,0.0,0.0,Kochi
V0033,Andhra Pradesh,SUV,Electric,Yes,MG,Astor,2012,1651,1821268,0.0,0.0,Jaipur
V0034,Telangana,Van,Petrol,No,Force Motors,Gurkha,2015,3085,812952,17.0,146.8,Chennai
V0035,Telangana,Truck,Hybrid,No,Eicher,Pro 3015,2014,12284,2103148,19.5,141.4,Mumbai
V0036,Gujarat,Bike,Hybrid,No,Royal Enfield,Hunter 350,2021,13679,190807,14.8,191.3,Mumbai
V0037,Jharkhand,Bus,Electric,Yes,Tata,Punch,2014,5111,738361,0.0,0.0,Hyderabad
V0038,Uttarakhand,Bus,Diesel,No,Ashok Leyland,Dost,2017,866,1659152,13.3,118.9,Ahmedabad
V0039,Madhya Pradesh,Truck,Petrol,No,Tata,Tiago,2023,11319,1307201,28.6,169.3,Bengaluru
V0040,Tamil Nadu,Bus,Petrol,No,Ashok Leyland,Captain,2010,5565,421906,11.7,174.1,Mumbai
V0041,Odisha,Truck,Hybrid,No,Mahindra,Bolero,2022,8290,258973,25.2,167.8,Lucknow
V0042,Tamil Nadu,Truck,Hybrid,No,Mahindra,Jeeto,2010,6340,2268988,25.3,133.0,Bengaluru
V0043,Punjab,Car,Hybrid,No,Kia,Seltos,2022,13230,340785,10.5,171.0,Chennai
V0044,Assam,Bus,Diesel,No,Volvo,9400,2020,11034,2038499,24.3,156.8,Delhi
V0045,Telangana,Bus,Diesel,No,Ashok Leyland,Dost,2018,5708,421115,14.1,132.5,Kochi
V0046,Andhra Pradesh,Auto,Electric,Yes,Bajaj,Chetak,2023,7220,387327,0.0,0.0,Lucknow
V0047,Madhya Pradesh,Van,Petrol,No,Tata,Tiago,2021,10932,2139891,15.1,121.9,Bengaluru
V0048,Punjab,Car,Petrol,No,Honda,Amaze,2016,905,469552,29.8,149.3,Jaipur
V0049,Haryana,Car,Electric,Yes,Maruti,Ertiga,2021,11399,1297661,0.0,0.0,Chennai
V0050,Madhya Pradesh,Truck,Diesel,No,Ashok Leyland,Dost,2024,4155,1130502,22.4,126.9,Chennai
V0051,Tamil Nadu,SUV,Hybrid,No,Hyundai,i20,2011,8476,2247775,15.2,176.8,Delhi
V0052,Andhra Pradesh,Van,Electric,Yes,Maruti,Baleno,2016,8287,2300794,0.0,0.0,Lucknow
V0053,Andhra Pradesh,Van,Petrol,No,Maruti,Baleno,2010,14792,1355887,24.1,156.6,Mumbai
V0054,Madhya Pradesh,Bike,Electric,Yes,Hero,Splendor,2010,3882,1247527,0.0,0.0,Chennai
V0055,Odisha,Bike,Electric,Yes,Hero,HF Deluxe,2019,12768,1860760,0.0,0.0,Kolkata
V0056,Delhi,Car,Petrol,No,Tata,Punch,2024,4671,2431102,25.3,122.4,Mumbai
V0057,West Bengal,Auto,Hybrid,No,Piaggio,Porter,2010,11304,1661023,29.7,121.7,Bengaluru
V0058,Telangana,Auto,Hybrid,No,TVS,Apache,2021,9171,1399268,26.8,173.8,Mumbai
V0059,West Bengal,Van,Electric,Yes,Tata,Tiago,2021,5537,2234235,0.0,0.0,Bengaluru
V0060,Gujarat,Van,Electric,Yes,Maruti,Baleno,2021,12513,1409448,0.0,0.0,Chennai
V0061,Karnataka,Auto,Hybrid,No,Bajaj,Pulsar,2024,1956,773263,17.6,139.8,Lucknow
V0062,Chhattisgarh,Car,Diesel,No,Kia,Sonet,2012,14996,1107412,20.5,110.4,Bengaluru
V0063,Uttarakhand,Truck,Electric,Yes,Eicher,Pro 2049,2019,12576,937207,0.0,0.0,Hyderabad
V0064,Uttarakhand,Auto,Diesel,No,Piaggio,Ape,2013,14279,2188782,23.2,177.7,Kochi
V0065,West Bengal,Bus,Diesel,No,Tata,Tiago,2022,5772,2251796,23.6,102.4,Chennai
V0066,Chhattisgarh,SUV,Petrol,No,Hyundai,i20,2016,13873,699388,22.3,162.0,Lucknow
V0067,Rajasthan,Truck,Hybrid,No,Eicher,Pro 2049,2012,13426,413182,24.3,147.9,Kochi
V0068,West Bengal,Truck,Electric,Yes,Ashok Leyland,Dost,2023,14942,1603535,0.0,0.0,Ahmedabad
V0069,Tamil Nadu,Auto,Hybrid,No,Piaggio,Ape,2011,2104,430694,21.2,171.9,Jaipur
V0070,Uttarakhand,Van,Hybrid,No,Tata,Punch,2020,6346,493432,26.9,148.5,Delhi
V0071,Karnataka,SUV,Diesel,No,Hyundai,Venue,2013,102,1111053,23.5,172.2,Kolkata
V0072,West Bengal,SUV,Diesel,No,Hyundai,Venue,2015,12444,1120212,22.1,164.4,Jaipur
V0073,Assam,Bus,Diesel,No,Tata,Tiago,2013,1363,1095339,15.0,110.0,Delhi
V0074,Rajasthan,Van,Hybrid,No,Tata,Punch,2022,10773,543594,15.2,154.4,Delhi
V0075,Haryana,SUV,Hybrid,No,MG,Astor,2023,7047,381872,29.8,104.5,Delhi
V0076,West Bengal,Car,Petrol,No,Toyota,Fortuner,2023,368,1002713,20.2,112.1,Mumbai
V0077,Delhi,Truck,Petrol,No,Mahindra,Jeeto,2019,2758,1837934,16.9,185.1,Kolkata
V0078,Maharashtra,Bus,Diesel,No,Tata,Punch,2024,2402,1477079,21.8,114.9,Chennai
V0079,Andhra Pradesh,Truck,Diesel,No,Mahindra,Jeeto,2023,3664,873866,24.7,155.4,Kochi
V0080,Karnataka,SUV,Petrol,No,Tata,Tiago,2024,3615,1251595,29.7,116.3,Bengaluru
V0081,Uttarakhand,Auto,Electric,Yes,TVS,Jupiter,2016,6607,2110238,0.0,0.0,Mumbai
V0082,Odisha,Auto,Hybrid,No,TVS,Jupiter,2011,13457,2481675,19.0,118.0,Mumbai
V0083,Maharashtra,Truck,Petrol,No,Tata,Punch,2013,11312,345902,19.8,117.1,Bengaluru
V0084,Tamil Nadu,Bus,Diesel,No,Ashok Leyland,Captain,2014,4470,765152,24.2,186.8,Kochi
V0085,Delhi,Car,Hybrid,No,Kia,Sonet,2010,9217,129700,10.1,153.3,Chennai
V0086,Odisha,Van,Petrol,No,Maruti,Alto,2014,10343,2020545,27.0,141.3,Jaipur
V0087,Andhra Pradesh,Car,Petrol,No,Tata,Punch,2021,13333,2328793,26.0,121.2,Jaipur
V0088,Karnataka,Truck,Petrol,No,Tata,Nexon,2019,9042,1390731,17.0,156.1,Lucknow
V0089,Gujarat,Bike,Electric,Yes,Bajaj,Chetak,2017,8106,635389,0.0,0.0,Lucknow
V0090,Rajasthan,Van,Hybrid,No,Tata,Nexon,2011,5597,230120,15.4,116.6,Jaipur
V0091,Bihar,Bike,Petrol,No,Hero,HF Deluxe,2021,2069,2004685,15.2,110.3,Lucknow
V0092,Karnataka,Bike,Diesel,No,Honda,City,2013,1355,1802391,23.1,178.0,Ahmedabad
V0093,Madhya Pradesh,Bike,Hybrid,No,Hero,HF Deluxe,2014,5320,1070075,21.5,106.1,Kochi
V0094,Delhi,Bike,Electric,Yes,Royal Enfield,Classic 350,2014,7287,1766037,0.0,0.0,Bengaluru
V0095,Telangana,Truck,Petrol,No,Ashok Leyland,Dost,2010,2151,981965,22.0,188.9,Mumbai
V0096,Assam,SUV,Hybrid,No,MG,Hector,2013,1637,883206,15.5,141.4,Hyderabad
V0097,Maharashtra,Bus,Electric,Yes,Volvo,9400,2017,297,1290030,0.0,0.0,Kochi
V0098,Bihar,Truck,Petrol,No,Ashok Leyland,Captain,2013,4083,93877,21.4,100.5,Hyderabad
V0099,Gujarat,Bike,Diesel,No,Hero,Splendor,2019,922,1745583,29.5,152.7,Kolkata
V0100,West Bengal,Bus,Petrol,No,Ashok Leyland,Captain,2024,5521,1615008,24.5,111.9,Bengaluru
V0101,Bihar,Bike,Diesel,No,Bajaj,Pulsar,2022,7561,1959245,25.6,181.7,Kochi
V0102,Karnataka,Bus,Diesel,No,Ashok Leyland,Dost,2011,9455,1636977,26.4,130.4,Ahmedabad
V0103,Delhi,SUV,Hybrid,No,Tata,Nexon,2024,5522,881952,12.7,167.4,Jaipur
V0104,Andhra Pradesh,Van,Diesel,No,Force Motors,Traveller,2011,12872,1952990,12.5,176.3,Hyderabad
V0105,Chhattisgarh,Van,Diesel,No,Tata,Punch,2020,3708,1301891,12.7,170.4,Kochi
V0106,Bihar,SUV,Petrol,No,Tata,Punch,2023,8898,290666,14.3,156.6,Kochi
V0107,Odisha,Van,Electric,Yes,Maruti,Ertiga,2023,5088,2257815,0.0,0.0,Delhi
V0108,Tamil Nadu,SUV,Diesel,No,MG,Astor,2022,5639,91881,19.5,159.8,Lucknow
V0109,Jharkhand,Auto,Petrol,No,TVS,Apache,2015,7892,2404817,19.6,119.2,Kolkata
V0110,Assam,Bike,Hybrid,No,TVS,Apache,2010,9567,943950,13.7,116.7,Lucknow
V0111,Tamil Nadu,Truck,Diesel,No,Eicher,Pro 2049,2018,9021,2336500,18.7,151.3,Kochi
V0112,Jharkhand,Bus,Electric,Yes,Tata,Nexon,2011,1264,209316,0.0,0.0,Kochi
V0113,Odisha,Truck,Hybrid,No,Eicher,Pro 2049,2012,4861,191428,25.2,127.8,Kolkata
V0114,Assam,SUV,Diesel,No,Hyundai,i20,2021,7199,1531261,23.6,100.3,Jaipur
V0115,Bihar,Van,Hybrid,No,Tata,Punch,2022,6422,304866,28.0,171.5,Bengaluru
V0116,Punjab,SUV,Hybrid,No,Tata,Punch,2021,6820,1686282,12.9,138.5,Ahmedabad
V0117,Rajasthan,Truck,Electric,Yes,Tata,Punch,2016,5511,2239674,0.0,0.0,Lucknow
V0118,Uttarakhand,Bus,Hybrid,No,Volvo,9400,2019,10467,1533774,15.1,154.1,Mumbai
V0119,Assam,Car,Hybrid,No,Maruti,Swift,2011,4340,1502201,20.8,156.5,Lucknow
V0120,West Bengal,Auto,Electric,Yes,Piaggio,Porter,2022,603,2144863,0.0,0.0,Kolkata
V0121,Bihar,Car,Petrol,No,Hyundai,Creta,2019,9131,559311,13.6,131.2,Ahmedabad
V0122,Andhra Pradesh,Car,Electric,Yes,Hyundai,i20,2010,2192,1318794,0.0,0.0,Lucknow
V0123,Karnataka,Auto,Diesel,No,TVS,Apache,2020,4351,1981378,10.5,152.0,Ahmedabad
V0124,Kerala,Truck,Electric,Yes,Mahindra,Jeeto,2017,283,469464,0.0,0.0,Delhi
V0125,Andhra Pradesh,SUV,Diesel,No,Tata,Tiago,2023,108,1331858,24.1,194.9,Kochi
V0126,Telangana,Van,Electric,Yes,Tata,Punch,2023,1245,2408128,0.0,0.0,Ahmedabad
V0127,Jharkhand,SUV,Electric,Yes,Mahindra,Jeeto,2021,129,1079139,0.0,0.0,Jaipur
V0128,West Bengal,Car,Hybrid,No,Hyundai,Venue,2015,14310,1463103,20.1,162.2,Kolkata
V0129,Madhya Pradesh,SUV,Hybrid,No,Mahindra,Bolero,2015,8141,2112922,21.5,104.1,Delhi
V0130,Kerala,Car,Petrol,No,Kia,Seltos,2011,13467,1445458,18.6,192.1,Lucknow
V0131,Uttarakhand,Bike,Diesel,No,Bajaj,Pulsar,2013,261,1561212,11.6,158.9,Delhi
V0132,Andhra Pradesh,Truck,Electric,Yes,Eicher,Pro 2049,2024,1205,2296844,0.0,0.0,Kolkata
V0133,Uttar Pradesh,Auto,Electric,Yes,Bajaj,Pulsar,2011,5386,2001160,0.0,0.0,Jaipur
V0134,Kerala,SUV,Electric,Yes,Mahindra,Jeeto,2012,7243,422033,0.0,0.0,Delhi
V0135,Gujarat,Truck,Hybrid,No,Tata,Punch,2023,8028,1295581,25.6,192.4,Chennai
V0136,Assam,SUV,Diesel,No,Hyundai,Venue,2011,2143,1725681,26.2,117.3,Kolkata
V0137,Haryana,Bus,Hybrid,No,Tata,Tiago,2022,11471,1486462,26.3,193.2,Kochi
V0138,Gujarat,Van,Electric,Yes,Force Motors,Gurkha,2021,7391,125804,0.0,0.0,Jaipur
V0139,Odisha,SUV,Petrol,No,Mahindra,Bolero,2012,7566,2376949,29.5,120.8,Delhi
V0140,Odisha,Car,Diesel,No,Toyota,Innova,2024,6728,2386331,18.9,162.3,Ahmedabad
V0141,Punjab,Car,Hybrid,No,Toyota,Innova,2010,984,2215796,16.9,186.7,Kolkata
V0142,Karnataka,Bus,Electric,Yes,Ashok Leyland,Dost,2013,10626,433216,0.0,0.0,Ahmedabad
V0143,Madhya Pradesh,Auto,Petrol,No,Piaggio,Ape,2024,3219,494137,15.0,188.6,Delhi
V0144,Punjab,Auto,Diesel,No,Bajaj,Pulsar,2023,521,1627578,29.8,141.5,Mumbai
V0145,Delhi,SUV,Diesel,No,Mahindra,Bolero,2019,10487,1642901,11.4,169.6,Mumbai
V0146,Karnataka,Auto,Electric,Yes,TVS,Apache,2011,11436,371242,0.0,0.0,Lucknow
V0147,Bihar,Van,Hybrid,No,Maruti,Alto,2016,11672,667598,22.5,186.5,Ahmedabad
V0148,Delhi,Bike,Petrol,No,Bajaj,Pulsar,2019,7571,1491535,28.7,185.8,Jaipur
V0149,Haryana,Van,Petrol,No,Force Motors,Traveller,2014,7951,1778075,20.1,143.3,Delhi
V0150,Delhi,Car,Electric,Yes,Maruti,Swift,2019,5748,2257390,0.0,0.0,Mumbai
V0151,Chhattisgarh,Auto,Petrol,No,Bajaj,Chetak,2022,1179,1694776,28.2,174.7,Kochi
V0152,Bihar,Bus,Hybrid,No,Ashok Leyland,Captain,2015,13989,2197419,25.7,143.8,Kolkata
V0153,Haryana,SUV,Diesel,No,MG,Astor,2020,3660,1312777,19.3,157.3,Chennai
V0154,Chhattisgarh,Car,Electric,Yes,Tata,Punch,2014,4797,1033818,0.0,0.0,Kolkata
V0155,Bihar,SUV,Hybrid,No,Hyundai,i20,2021,4161,1781544,16.1,118.0,Hyderabad
V0156,Gujarat,SUV,Hybrid,No,Hyundai,i20,2016,1776,946806,21.8,200.0,Kochi
V0157,Telangana,Van,Diesel,No,Force Motors,Traveller,2024,7727,1203847,10.7,185.0,Bengaluru
V0158,Haryana,Bike,Electric,Yes,Bajaj,Chetak,2019,13188,2412730,0.0,0.0,Mumbai
V0159,West Bengal,Bus,Petrol,No,Tata,Punch,2011,3047,2150306,19.3,168.1,Chennai
V0160,Punjab,Truck,Hybrid,No,Tata,Tiago,2022,8005,1573765,11.3,183.3,Hyderabad
V0161,Bihar,SUV,Petrol,No,Mahindra,Bolero,2013,10533,2058384,23.7,163.6,Ahmedabad
V0162,Bihar,SUV,Diesel,No,Mahindra,Bolero,2018,3790,1402293,23.7,119.6,Kolkata
V0163,Haryana,SUV,Petrol,No,MG,Astor,2013,12126,1773074,18.6,118.1,Bengaluru
V0164,Maharashtra,Bus,Petrol,No,Volvo,9600,2024,13795,615616,20.9,186.2,Hyderabad
V0165,Kerala,Van,Diesel,No,Maruti,Swift,2021,14015,586438,11.7,117.4,Ahmedabad
V0166,Rajasthan,Bike,Diesel,No,Royal Enfield,Hunter 350,2023,13431,794234,17.8,182.2,Delhi
